Latitude,Longitude,Stop Name,Stop Status
40.694126,-73.917517,GATES AV/CENTRAL AV,at stop
40.688579,-73.980113,FULTON ST/HUDSON AV,at stop
40.68617,-73.950976,GATES AV/NOSTRAND AV,at stop
40.68757,-73.93883,GATES AV/MARCUS GARVEY BL,approaching
40.688876,-73.927468,GATES AV/PATCHEN AV,approaching
40.685981,-73.972154,GREENE AV/CUMBERLAND ST,approaching
40.688194,-73.933394,GATES AV/STUYVESANT AV,approaching
40.688956,-73.926768,GATES AV/PATCHEN AV,approaching
40.687473,-73.939665,GATES AV/MARCUS GARVEY BL,approaching
40.686308,-73.969305,GREENE AV/VANDERBILT AV,approaching
40.690336,-73.984545,FULTON ST/BOND ST,approaching
40.686541,-73.967279,GREENE AV/VANDERBILT AV,approaching
